------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	3019.2    	0.2     	3/2-              	14 FS 2                  	496.7     	        	6         	LT      	          	        	          	          	        
39 	K      	19 	20 	3597.5    	0.2     	9/2-              	38 PS 2                  	3597.25   	0.25    	98        	4       	E3(+M4)   	+0.11   	0.13      	          	        
39 	K      	19 	20 	3597.5    	0.2     	9/2-              	38 PS 2                  	1075.0    	        	8         	LT      	          	        	          	          	        
39 	K      	19 	20 	3597.5    	0.2     	9/2-              	38 PS 2                  	783.36    	0.11    	100       	3       	M1+E2     	+0.59   	0.02      	          	        
39 	K      	19 	20 	3883.1    	0.4     	5/2-              	7.1 FS 1                 	1068.8    	        	2         	LT      	          	        	          	          	        
39 	K      	19 	20 	3883.1    	0.4     	5/2-              	7.1 FS 1                 	3883.0    	1       	100       	        	E1(+M2)   	-0.06   	0.07      	          	        
39 	K      	19 	20 	3883.1    	0.4     	5/2-              	7.1 FS 1                 	863.9     	        	2         	LT      	          	        	          	          	        
39 	K      	19 	20 	3883.1    	0.4     	5/2-              	7.1 FS 1                 	1360.6    	        	2         	LT      	          	        	          	          	        
39 	K      	19 	20 	3883.1    	0.4     	5/2-              	7.1 FS 1                 	285.6     	        	2         	LT      	          	        	          	          	        
39 	K      	19 	20 	3938.8    	0.3     	3/2+              	50 FS 20                 	3938.3    	1       	100.0     	1.3     	M1+E2     	-1.2    	+0.6-1.5  	          	        
39 	K      	19 	20 	3938.8    	0.3     	3/2+              	50 FS 20                 	1416.2    	0.4     	8.9       	1.3     	M1+E2     	+0.61   	0.12      	          	        
39 	K      	19 	20 	3944.3    	0.2     	11/2-             	9.0 PS 1                 	346.69    	0.1     	58.7      	1.6     	M1(+E2)   	-0.003  	0.008     	          	        
39 	K      	19 	20 	3944.3    	0.2     	11/2-             	9.0 PS 1                 	1129.96   	0.12    	100.0     	1.6     	E2(+M3)   	-0.02   	0.02      	          	        
39 	K      	19 	20 	4082.3    	0.4     	3/2-              	24 FS 4                  	1559.1    	0.4     	31        	5       	E1(+M2)   	-0.02   	0.06      	          	        
39 	K      	19 	20 	4082.3    	0.4     	3/2-              	24 FS 4                  	1063.1    	0.3     	18        	3       	M1+E2     	+0.16   	0.13      	          	        
39 	K      	19 	20 	4082.3    	0.4     	3/2-              	24 FS 4                  	4082.4    	1.3     	100       	5       	E1(+M2)   	-0.01   	0.02      	          	        
39 	K      	19 	20 	4095.3    	0.3     	1/2+              	63 FS 9                  	1077.4    	0.4     	18.2      	1.3     	[E1]      	        	          	          	        
39 	K      	19 	20 	4095.3    	0.3     	1/2+              	63 FS 9                  	1572.5    	0.3     	100.0     	1.3     	M1        	        	          	          	        
39 	K      	19 	20 	4126.0    	0.3     	7/2-              	45 FS 9                  	1312.2    	0.2     	100       	        	M1+E2     	-0.11   	0.01      	          	        
39 	K      	19 	20 	4475.1    	0.5     	1/2-,3/2-         	0.21 PS 0.05             	1953      	        	100       	11      	[E1]      	        	          	          	        
39 	K      	19 	20 	4475.1    	0.5     	1/2-,3/2-         	0.21 PS 0.05             	592       	        	11        	LT      	          	        	          	          	        
39 	K      	19 	20 	4475.1    	0.5     	1/2-,3/2-         	0.21 PS 0.05             	1455.9    	        	34        	11      	          	        	          	          	        
39 	K      	19 	20 	4475.1    	0.5     	1/2-,3/2-         	0.21 PS 0.05             	4474.0    	1.4     	79        	11      	          	        	          	          	        
39 	K      	19 	20 	4475.1    	0.5     	1/2-,3/2-         	0.21 PS 0.05             	878       	        	15        	LT      	          	        	          	          	        
39 	K      	19 	20 	4514.3    	0.7     	5/2+              	22 FS 4                  	4514.0    	1.4     	100       	        	M1+E2     	-1.0    	0.2       	          	        
39 	K      	19 	20 	4520.2    	0.3     	9/2-              	105 FS 35                	923.0     	0.2     	100       	1       	M1(+E2)   	+0.01   	0.03      	          	        
39 	K      	19 	20 	4520.2    	0.3     	9/2-              	105 FS 35                	576.20    	0.13    	10.4      	0.8     	M1(+E2)   	+0.05   	0.05      	          	        
39 	K      	19 	20 	4520.2    	0.3     	9/2-              	105 FS 35                	393.9     	0.2     	2.3       	0.6     	M1(+E2)   	+0.04   	0.04      	          	        
