------------------------------------------------------------------------

_Search parameters_:
Nucleus:15N

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
15 	N      	7  	8  	12522     	8       	5/2+              	58 KEV 4                 	7250      	10      	100.0     	7       	[M1]      	        	          	          	        
15 	N      	7  	8  	13390     	10      	3/2+              	56 KEV                   	8091      	10      	8         	LT      	          	        	          	          	        
15 	N      	7  	8  	13390     	10      	3/2+              	56 KEV                   	6089      	10      	5         	LT      	          	        	          	          	        
15 	N      	7  	8  	13390     	10      	3/2+              	56 KEV                   	13384     	10      	100       	        	[E1]      	        	          	          	        
15 	N      	7  	8  	13390     	10      	3/2+              	56 KEV                   	7066      	10      	5         	LT      	          	        	          	          	        
15 	N      	7  	8  	13390     	10      	3/2+              	56 KEV                   	8120      	10      	8         	LT      	          	        	          	          	        
15 	N      	7  	8  	13390     	10      	3/2+              	56 KEV                   	6235      	10      	5         	LT      	          	        	          	          	        


To save this output into a local file, clik on "File" in your browser menu and select "Save as"




