A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	CA     	20 	21 	7731.7    	12      	(GE 5/2)          	                         
41 	CA     	20 	21 	7751.0    	9       	1/2+              	                         
41 	CA     	20 	21 	7770.3    	14      	1/2+              	                         
41 	CA     	20 	21 	7792      	5       	                  	                         
41 	CA     	20 	21 	7817.1    	11      	5/2-              	                         
41 	CA     	20 	21 	7854      	5       	                  	                         
41 	CA     	20 	21 	7887.8    	11      	5/2-              	                         
41 	CA     	20 	21 	7901      	5       	                  	                         
41 	CA     	20 	21 	7919.1    	24      	(5/2)-            	                         
41 	CA     	20 	21 	7957      	3       	5/2-              	                         
41 	CA     	20 	21 	7974      	3       	7/2-              	                         
41 	CA     	20 	21 	7990      	20      	1/2+&3/2+,5/2+    	                         
41 	CA     	20 	21 	7995      	3       	(9/2)+            	                         
41 	CA     	20 	21 	8040      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	8047.5    	17      	(5/2)-            	                         
41 	CA     	20 	21 	8063.4    	23      	7/2-              	                         
41 	CA     	20 	21 	8101.8    	14      	7/2-              	                         
41 	CA     	20 	21 	8120      	3       	5/2+              	                         
41 	CA     	20 	21 	8136.1    	16      	(5/2)-            	                         
41 	CA     	20 	21 	8150.8    	9       	(5/2)-            	                         
41 	CA     	20 	21 	8179.0    	19      	5/2+              	                         
41 	CA     	20 	21 	8199.7    	19      	7/2-              	                         
41 	CA     	20 	21 	8229.4    	19      	5/2+              	                         
41 	CA     	20 	21 	8242      	3       	(1/2,3/2,5/2+)    	                         
41 	CA     	20 	21 	8259      	3       	                  	                         
41 	CA     	20 	21 	8272      	7       	                  	                         
41 	CA     	20 	21 	8311      	15      	(3/2,5/2)+        	                         
41 	CA     	20 	21 	8312.7    	21      	(9/2)+            	                         
41 	CA     	20 	21 	8335.7    	23      	(5/2)-            	                         
41 	CA     	20 	21 	8347      	7       	                  	                         
41 	CA     	20 	21 	8373.5    	18      	5/2+              	                         
41 	CA     	20 	21 	8402.2    	21      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	8447.4    	38      	(9/2)+            	                         
41 	CA     	20 	21 	8467.4    	12      	7/2-              	                         
41 	CA     	20 	21 	8504      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	8522.4    	20      	7/2-              	                         
41 	CA     	20 	21 	8549      	3       	5/2-              	                         
41 	CA     	20 	21 	8551      	15      	1/2+              	                         
41 	CA     	20 	21 	8585      	3       	7/2-              	                         
41 	CA     	20 	21 	8620      	4       	5/2-              	                         
41 	CA     	20 	21 	8630      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	8638      	4       	5/2-              	                         
